ID;Val0;Val1;Val2;Val3;Val4;Val5;Val6;Val7;Val8;Direction
1;11,15;11,48;None;None;None;None;None;None;None;U
1;7,8;7,86;None;None;None;None;None;None;None;D
2;8,24;8,73;8,18;None;None;None;None;None;None;U
2;17,52;16,91;16,54;None;None;None;None;None;None;D
3;18,24;16,75;16,58;17,09;17,03;None;None;None;None;U
3;7,03;6,59;6,75;6,81;6,81;None;None;None;None;D
4;18,18;18,13;18,62;19,34;17,63;None;None;None;None;U
4;6,64;6,7;6,75;6,75;6,59;None;None;None;None;D
5;3,02;3,02;2,91;3,02;3,02;2,96;2,91;3,02;None;U
5;4,18;4,39;4,4;4,39;4,34;4,39;4,17;4,18;None;D
6;7,64;7,74;7,8;7,31;7,36;7,75;8,02;None;None;U
6;8,67;8,68;8,73;8,57;8,79;8,84;8,4;None;None;D
7;7,47;7,36;7,08;7,58;7,58;7,41;7,25;None;None;U
7;9,45;9,01;8,9;9,5;9,5;9,45;9,06;None;None;D
8;4,78;4,61;4,83;4,77;4,62;4,73;4,56;None;None;U
8;11,92;12,9;11,98;12,74;12,91;12,36;11,65;None;None;D
9;3,14;2,97;2,96;2,91;2,96;3,07;2,91;None;None;U
9;5,11;5,32;5,06;5,16;5,06;5,27;5,16;None;None;D
10;6,76;6,67;6,87;6,54;6,42;6,59;6,37;6,59;6,7;U
10;10,1;9,89;9,67;9,61;9,99;10,11;10,11;9,39;10,27;D
