Start:2.5210000051e-002
Increment:5.0000003284e-006
Sequence,Volt,Volt
X,CH1,CH2
0,-3.437e-002,4.375e-002
1,-4.250e-002,2.812e-002
2,-4.250e-002,3.750e-002
3,-3.500e-002,2.500e-002
4,-4.187e-002,3.437e-002
5,-3.437e-002,2.500e-002
6,-3.437e-002,3.437e-002
7,-4.187e-002,2.187e-002
8,-3.500e-002,3.437e-002
9,-4.250e-002,2.187e-002
10,-3.437e-002,3.125e-002
11,-4.250e-002,1.875e-002
12,-3.437e-002,2.187e-002
13,-4.187e-002,3.437e-002
14,-3.500e-002,2.812e-002
15,-4.250e-002,3.750e-002
16,-3.500e-002,3.750e-002
17,-4.250e-002,2.812e-002
18,-3.500e-002,3.750e-002
19,-4.250e-002,2.187e-002
20,-4.187e-002,2.812e-002
21,-3.374e-002,1.875e-002
22,-4.187e-002,1.875e-002
23,-3.437e-002,3.125e-002
24,-4.125e-002,3.125e-002
25,-3.437e-002,2.187e-002
26,-4.187e-002,2.812e-002
27,-3.500e-002,1.562e-002
28,-3.500e-002,2.500e-002
29,-4.187e-002,3.125e-003
30,-4.125e-002,6.250e-003
31,-3.437e-002,1.562e-002
32,-3.437e-002,9.375e-003
33,-4.187e-002,2.187e-002
34,-3.374e-002,2.187e-002
35,-4.187e-002,9.375e-003
36,-4.187e-002,1.875e-002
37,-3.437e-002,3.125e-003
38,-4.125e-002,6.250e-003
39,-3.374e-002,2.187e-002
40,-3.374e-002,1.562e-002
41,-4.125e-002,3.437e-002
42,-3.437e-002,2.812e-002
43,-4.125e-002,3.750e-002
44,-3.374e-002,3.437e-002
45,-4.125e-002,2.187e-002
46,-3.374e-002,1.875e-002
47,-4.125e-002,3.125e-002
48,-3.312e-002,2.187e-002
49,-4.125e-002,4.375e-002
50,-3.374e-002,3.750e-002
51,-4.125e-002,5.312e-002
52,-3.312e-002,5.312e-002
53,-4.062e-002,3.750e-002
54,-4.062e-002,4.687e-002
55,-3.374e-002,3.125e-002
56,-3.250e-002,2.812e-002
57,-4.062e-002,4.375e-002
58,-4.062e-002,3.437e-002
59,-3.312e-002,5.312e-002
60,-3.312e-002,4.687e-002
61,-4.062e-002,5.937e-002
62,-4.062e-002,5.312e-002
63,-3.312e-002,3.125e-002
64,-4.000e-002,4.062e-002
65,-3.250e-002,2.500e-002
66,-3.312e-002,2.500e-002
67,-4.062e-002,3.750e-002
68,-4.000e-002,3.125e-002
69,-3.062e-002,4.687e-002
70,-4.000e-002,4.687e-002
71,-3.187e-002,3.125e-002
72,-3.937e-002,3.750e-002
73,-3.187e-002,1.562e-002
74,-3.937e-002,1.562e-002
75,-3.187e-002,2.812e-002
76,-3.937e-002,1.875e-002
77,-3.125e-002,3.750e-002
78,-3.187e-002,3.125e-002
79,-3.875e-002,4.375e-002
80,-3.875e-002,3.750e-002
81,-3.125e-002,1.562e-002
82,-3.187e-002,2.187e-002
83,-3.875e-002,9.375e-003
84,-3.875e-002,1.250e-002
85,-3.125e-002,3.125e-002
86,-3.125e-002,2.187e-002
87,-3.875e-002,4.375e-002
88,-3.125e-002,4.687e-002
89,-3.875e-002,2.812e-002
90,-3.875e-002,3.437e-002
91,-3.062e-002,1.250e-002
92,-3.125e-002,9.375e-003
93,-3.812e-002,2.187e-002
94,-3.812e-002,1.250e-002
95,-3.062e-002,3.125e-002
96,-3.875e-002,2.500e-002
97,-3.062e-002,4.062e-002
98,-3.062e-002,3.750e-002
99,-3.749e-002,9.375e-003
100,-3.875e-002,1.875e-002
101,-2.999e-002,0.000e000
102,-3.749e-002,0.000e000
103,-3.062e-002,1.562e-002
104,-3.749e-002,9.375e-003
105,-3.062e-002,3.125e-002
106,-3.062e-002,3.437e-002
107,-3.749e-002,1.875e-002
108,-3.749e-002,2.500e-002
109,-2.999e-002,3.125e-003
110,-3.749e-002,0.000e000
111,-2.999e-002,1.250e-002
112,-2.937e-002,3.125e-003
113,-3.812e-002,2.500e-002
114,-3.062e-002,1.875e-002
115,-3.812e-002,4.062e-002
116,-2.999e-002,3.750e-002
117,-3.749e-002,3.125e-003
118,-3.749e-002,1.250e-002
119,-2.999e-002,-1.875e-002
120,-2.999e-002,-2.187e-002
121,-3.687e-002,-6.250e-003
122,-3.687e-002,-1.562e-002
123,-2.875e-002,9.375e-003
124,-3.749e-002,1.250e-002
125,-2.937e-002,-6.250e-003
126,-2.999e-002,3.125e-003
127,-3.687e-002,-2.500e-002
128,-3.812e-002,-2.812e-002
129,-2.999e-002,-1.562e-002
130,-3.749e-002,-2.500e-002
131,-2.999e-002,0.000e000
132,-3.749e-002,-6.250e-003
133,-2.937e-002,1.562e-002
134,-3.062e-002,1.562e-002
135,-3.812e-002,-1.250e-002
136,-3.812e-002,-6.250e-003
137,-2.999e-002,-2.187e-002
138,-2.999e-002,-2.187e-002
139,-3.812e-002,-3.125e-003
140,-3.062e-002,-9.375e-003
141,-3.875e-002,1.250e-002
142,-2.999e-002,1.562e-002
143,-3.749e-002,-9.375e-003
144,-3.749e-002,-3.125e-003
145,-2.999e-002,-3.750e-002
146,-2.999e-002,-2.812e-002
147,-3.812e-002,-4.062e-002
148,-3.062e-002,-3.750e-002
149,-3.812e-002,-9.375e-003
150,-3.062e-002,-1.875e-002
151,-3.812e-002,6.250e-003
152,-3.062e-002,6.250e-003
153,-3.875e-002,-2.187e-002
154,-3.062e-002,-1.562e-002
155,-3.937e-002,-3.125e-002
156,-3.812e-002,-3.125e-002
157,-3.062e-002,-9.375e-003
158,-3.875e-002,-1.562e-002
159,-3.062e-002,9.375e-003
160,-3.125e-002,1.562e-002
161,-3.875e-002,-3.125e-003
162,-3.187e-002,3.125e-003
163,-3.812e-002,-3.437e-002
164,-3.937e-002,-2.500e-002
165,-3.125e-002,-3.750e-002
166,-3.875e-002,-3.750e-002
167,-3.125e-002,-1.562e-002
168,-3.062e-002,-2.187e-002
169,-3.875e-002,6.250e-003
170,-3.937e-002,9.375e-003
171,-3.062e-002,-6.250e-003
172,-3.187e-002,-9.375e-003
173,-4.000e-002,3.125e-003
174,-3.187e-002,-9.375e-003
175,-3.937e-002,6.250e-003
176,-3.937e-002,-3.125e-003
177,-3.187e-002,2.187e-002
178,-3.312e-002,1.562e-002
179,-4.000e-002,3.125e-002
180,-3.312e-002,2.187e-002
181,-3.937e-002,-1.875e-002
182,-3.937e-002,-9.375e-003
183,-3.187e-002,-3.125e-002
184,-3.250e-002,-3.125e-002
185,-4.062e-002,-9.375e-003
186,-4.000e-002,-1.875e-002
187,-3.312e-002,9.375e-003
188,-4.125e-002,1.250e-002
189,-3.250e-002,-6.250e-003
190,-3.250e-002,0.000e000
191,-4.000e-002,-2.187e-002
192,-3.374e-002,-1.250e-002
193,-4.062e-002,-2.500e-002
194,-3.312e-002,-2.187e-002
195,-4.125e-002,0.000e000
196,-3.250e-002,-9.375e-003
197,-4.062e-002,1.250e-002
198,-3.312e-002,9.375e-003
199,-4.125e-002,0.000e000
200,-3.312e-002,9.375e-003
201,-4.187e-002,-3.125e-003
202,-4.125e-002,0.000e000
203,-3.374e-002,1.875e-002
204,-3.374e-002,1.250e-002
205,-4.125e-002,3.437e-002
206,-4.125e-002,2.812e-002
207,-3.374e-002,4.062e-002
208,-4.125e-002,4.375e-002
209,-3.312e-002,3.125e-002
210,-4.187e-002,3.125e-002
211,-3.374e-002,4.375e-002
212,-4.187e-002,3.437e-002
213,-3.437e-002,5.625e-002
214,-3.374e-002,4.687e-002
215,-4.125e-002,6.250e-002
216,-3.437e-002,6.250e-002
217,-4.187e-002,5.312e-002
218,-3.437e-002,5.937e-002
219,-4.250e-002,4.062e-002
220,-4.125e-002,4.062e-002
221,-3.374e-002,5.312e-002
222,-3.437e-002,4.375e-002
223,-4.125e-002,6.250e-002
224,-4.187e-002,5.312e-002
225,-3.500e-002,6.562e-002
226,-4.125e-002,6.250e-002
227,-3.437e-002,4.687e-002
228,-4.187e-002,5.312e-002
229,-3.374e-002,4.062e-002
230,-3.374e-002,4.375e-002
231,-4.187e-002,5.937e-002
232,-4.125e-002,5.312e-002
233,-3.374e-002,6.875e-002
234,-3.437e-002,6.875e-002
235,-4.187e-002,5.625e-002
236,-4.125e-002,6.250e-002
237,-3.437e-002,3.750e-002
238,-4.125e-002,3.437e-002
239,-3.374e-002,5.000e-002
240,-4.187e-002,4.062e-002
241,-3.374e-002,5.625e-002
242,-3.374e-002,5.000e-002
243,-4.125e-002,5.937e-002
244,-3.374e-002,5.625e-002
245,-4.125e-002,3.750e-002
246,-4.062e-002,4.687e-002
247,-3.312e-002,3.125e-002
248,-4.062e-002,3.125e-002
249,-3.312e-002,4.687e-002
250,-3.374e-002,4.062e-002
251,-4.062e-002,5.625e-002
252,-3.374e-002,5.625e-002
253,-4.062e-002,4.375e-002
254,-3.374e-002,5.000e-002
255,-4.062e-002,2.812e-002
256,-4.062e-002,2.500e-002
257,-3.312e-002,4.062e-002
258,-4.062e-002,3.437e-002
259,-3.312e-002,5.312e-002
260,-3.312e-002,4.687e-002
261,-4.062e-002,5.937e-002
262,-4.000e-002,5.625e-002
263,-3.250e-002,3.437e-002
264,-4.000e-002,4.062e-002
265,-3.250e-002,2.812e-002
266,-3.312e-002,2.812e-002
267,-4.000e-002,5.000e-002
268,-4.000e-002,4.062e-002
269,-3.250e-002,5.937e-002
270,-4.062e-002,5.937e-002
271,-3.187e-002,4.375e-002
272,-3.937e-002,5.000e-002
273,-3.250e-002,1.562e-002
274,-3.250e-002,2.500e-002
275,-3.937e-002,1.250e-002
276,-3.937e-002,1.875e-002
277,-3.187e-002,4.062e-002
278,-3.250e-002,3.125e-002
279,-4.000e-002,4.687e-002
280,-3.125e-002,4.375e-002
281,-3.937e-002,2.500e-002
282,-3.937e-002,3.125e-002
283,-3.125e-002,1.875e-002
284,-3.937e-002,2.187e-002
285,-3.125e-002,4.687e-002
286,-3.187e-002,4.062e-002
287,-3.937e-002,6.250e-002
288,-3.875e-002,6.250e-002
289,-3.187e-002,5.000e-002
290,-3.875e-002,5.625e-002
291,-3.125e-002,3.750e-002
292,-3.125e-002,3.750e-002
293,-3.812e-002,5.312e-002
294,-3.812e-002,4.687e-002
295,-3.062e-002,6.875e-002
296,-3.062e-002,6.250e-002
297,-3.812e-002,7.812e-002
298,-3.875e-002,7.812e-002
299,-3.062e-002,5.312e-002
300,-2.999e-002,5.937e-002
301,-3.812e-002,4.062e-002
302,-3.749e-002,4.062e-002
303,-2.937e-002,5.312e-002
304,-2.937e-002,4.687e-002
305,-3.812e-002,6.562e-002
306,-3.812e-002,6.562e-002
307,-2.999e-002,5.000e-002
308,-3.749e-002,5.625e-002
309,-2.999e-002,3.437e-002
310,-2.999e-002,3.125e-002
311,-3.749e-002,4.375e-002
312,-2.999e-002,3.750e-002
313,-3.687e-002,5.937e-002
314,-3.749e-002,5.312e-002
315,-2.999e-002,6.875e-002
316,-2.999e-002,6.875e-002
317,-3.812e-002,4.375e-002
318,-3.687e-002,5.000e-002
319,-2.937e-002,3.437e-002
320,-2.999e-002,3.437e-002
321,-3.749e-002,5.312e-002
322,-3.749e-002,4.687e-002
323,-2.937e-002,6.562e-002
324,-2.999e-002,6.875e-002
325,-3.749e-002,4.687e-002
326,-2.937e-002,5.312e-002
327,-3.687e-002,2.500e-002
328,-3.749e-002,2.500e-002
329,-2.937e-002,3.750e-002
330,-2.937e-002,2.812e-002
331,-3.749e-002,5.312e-002
332,-2.875e-002,4.375e-002
333,-3.749e-002,5.937e-002
334,-3.624e-002,5.312e-002
335,-2.999e-002,2.812e-002
336,-3.687e-002,3.437e-002
337,-2.937e-002,2.187e-002
338,-2.999e-002,2.187e-002
339,-3.749e-002,4.062e-002
340,-3.062e-002,3.437e-002
341,-3.812e-002,5.625e-002
342,-3.687e-002,5.625e-002
343,-2.999e-002,3.750e-002
344,-3.687e-002,4.375e-002
345,-2.999e-002,1.875e-002
346,-2.999e-002,1.562e-002
347,-3.749e-002,3.125e-002
348,-2.937e-002,2.500e-002
349,-3.749e-002,4.687e-002
350,-2.999e-002,4.062e-002
351,-3.749e-002,5.625e-002
352,-2.937e-002,5.312e-002
353,-3.749e-002,1.562e-002
354,-3.687e-002,2.500e-002
355,-2.937e-002,-3.125e-003
356,-2.937e-002,-6.250e-003
357,-3.749e-002,1.250e-002
