Start:-1.0389997624e-002
Increment:4.9999998737e-005
Sequence,Volt,Volt,Volt
X,CH1,CH2,CH3
251,1.046e000,-1.687e-001,6.875e000
252,1.125e000,-1.125e-001,7.062e000
253,1.031e000,-1.687e-001,6.875e000
254,1.031e000,-1.250e-001,7.062e000
255,1.125e000,-1.687e-001,6.875e000
256,1.031e000,-1.187e-001,7.062e000
257,1.109e000,-2.125e-001,6.875e000
258,1.109e000,-2.000e-001,6.875e000
259,1.015e000,-1.375e-001,7.062e000
260,1.093e000,-1.812e-001,6.875e000
261,1.015e000,-2.125e-001,7.062e000
262,1.015e000,-1.812e-001,6.875e000
263,1.093e000,-2.687e-001,7.062e000
264,1.000e000,-1.750e-001,7.000e000
265,1.093e000,-2.875e-001,6.812e000
266,1.078e000,-1.812e-001,7.000e000
267,9.843e-001,-3.062e-001,6.812e000
268,1.078e000,-2.875e-001,7.000e000
269,1.000e000,-1.750e-001,6.812e000
270,1.078e000,-1.625e-001,6.812e000
271,9.843e-001,-2.812e-001,7.000e000
272,1.062e000,-2.625e-001,6.812e000
273,9.687e-001,-1.937e-001,7.000e000
274,1.062e000,-1.437e-001,6.812e000
275,9.687e-001,-2.500e-001,7.000e000
276,1.046e000,-1.937e-001,6.937e000
277,9.687e-001,-8.125e-002,6.812e000
278,1.046e000,-6.875e-002,6.937e000
279,9.531e-001,-1.125e-001,6.750e000
280,1.031e000,-8.125e-002,6.937e000
281,9.531e-001,-1.125e-001,6.750e000
282,9.531e-001,-9.375e-002,6.937e000
283,1.031e000,-1.250e-001,6.750e000
284,1.015e000,-1.000e-001,6.750e000
285,9.375e-001,-1.375e-001,6.937e000
286,1.015e000,-1.000e-001,6.750e000
287,9.218e-001,-1.625e-001,6.937e000
288,1.000e000,-1.000e-001,6.937e000
289,9.218e-001,-1.937e-001,6.687e000
290,1.000e000,-1.125e-001,6.875e000
291,9.062e-001,-2.000e-001,6.687e000
292,9.843e-001,-1.562e-001,6.875e000
293,8.906e-001,-2.062e-001,6.687e000
294,8.906e-001,-1.875e-001,6.875e000
295,9.843e-001,-2.500e-001,6.687e000
296,9.531e-001,-2.000e-001,6.687e000
297,8.750e-001,-2.875e-001,6.875e000
298,9.375e-001,-2.875e-001,6.875e000
299,8.437e-001,-1.750e-001,6.687e000
300,9.375e-001,-3.125e-001,6.687e000
301,8.437e-001,-2.062e-001,6.875e000
302,9.218e-001,-2.000e-001,6.687e000
303,8.281e-001,-2.750e-001,6.875e000
304,9.062e-001,-2.000e-001,6.625e000
305,7.968e-001,-2.625e-001,6.875e000
306,8.750e-001,-2.250e-001,6.812e000
307,7.812e-001,-5.625e-002,6.625e000
308,8.593e-001,-4.375e-002,6.625e000
309,7.500e-001,-9.375e-002,6.812e000
310,8.281e-001,-5.000e-002,6.625e000
311,7.187e-001,-1.062e-001,6.812e000
312,7.968e-001,-6.250e-002,6.625e000
313,6.875e-001,-1.062e-001,6.812e000
314,7.656e-001,-8.125e-002,6.812e000
315,6.562e-001,-1.125e-001,6.562e000
316,7.343e-001,-8.750e-002,6.625e000
317,6.250e-001,-1.437e-001,6.750e000
318,7.031e-001,-1.562e-001,6.750e000
319,5.937e-001,-9.375e-002,6.562e000
320,6.718e-001,-1.062e-001,6.750e000
