E / s	N_1	N_2	N_3	N_4	N_5	N_6	N_7	N_8	N_9	f / Hz	
NAN	0	0	0	0	0	0	0	0	0	NAN	
NAN	0	0	0	0	0	0	0	0	0	NAN	
NAN	0	0	0	0	0	0	0	0	0	NAN	
NAN	0	0	0	0	0	0	0	0	0	NAN	
NAN	0	0	0	0	0	0	0	0	0	NAN	
NAN	0	0	0	0	0	0	0	0	0	NAN	
NAN	0	0	0	0	0	0	0	0	0	NAN	
NAN	0	1	0	0	0	0	0	0	0	NAN	
NAN	15	1	0	0	0	0	1	0	0	NAN	
NAN	26	5	0	0	0	0	0	0	0	NAN	
NAN	38	9	0	1	1	3	1	0	0	NAN	
NAN	84	37	7	6	3	8	9	1	0	NAN	
NAN	82	55	22	20	25	10	15	6	5	NAN	
NAN	82	96	76	38	49	53	41	28	44	NAN	
NAN	81	104	81	77	58	78	66	95	129	NAN	
NAN	89	95	95	93	109	94	86	166	192	NAN	
NAN	75	105	81	110	86	100	125	162	181	NAN	
NAN	69	87	67	90	80	121	156	183	161	NAN	
NAN	65	69	57	84	107	116	109	193	171	NAN	
NAN	70	80	45	74	97	98	109	139	167	NAN	
NAN	66	85	55	66	72	81	92	129	140	NAN	
NAN	54	86	52	65	71	70	92	102	113	NAN	
NAN	60	67	44	47	58	54	55	95	119	NAN	
NAN	63	56	51	50	56	54	69	90	97	NAN	
NAN	62	66	43	64	40	54	66	105	94	NAN	
NAN	63	66	47	51	57	49	61	84	114	NAN	
NAN	60	55	45	50	53	54	52	80	102	NAN	
NAN	56	66	55	51	56	59	69	82	88	NAN	
NAN	72	67	47	56	57	58	60	67	104	NAN	
NAN	68	77	51	57	54	68	68	66	114	NAN	
NAN	77	70	44	51	50	45	57	75	102	NAN	
NAN	68	77	48	45	47	48	53	82	112	NAN	
NAN	73	53	46	46	51	54	42	82	89	NAN	
NAN	96	63	49	47	59	61	55	73	89	NAN	
NAN	124	98	57	46	58	58	65	79	98	NAN	
NAN	161	114	51	60	62	57	80	81	111	NAN	
NAN	265	151	77	56	83	84	78	75	87	NAN	
NAN	267	258	134	96	97	152	148	86	126	NAN	
NAN	302	322	206	176	219	193	291	171	263	NAN	
NAN	287	348	279	250	267	260	276	385	465	NAN	
NAN	284	286	238	241	228	241	260	462	564	NAN	
NAN	253	297	198	188	215	228	236	340	427	NAN	
NAN	248	266	213	187	235	210	226	295	397	NAN	
NAN	227	245	173	194	200	219	222	327	404	NAN	
NAN	205	231	176	182	158	165	191	285	378	NAN	
NAN	165	209	151	144	171	170	177	253	293	NAN	
NAN	139	145	123	125	125	127	141	224	312	NAN	
NAN	116	120	90	90	92	105	107	171	209	NAN	
NAN	147	153	84	87	89	81	80	115	151	NAN	
NAN	156	128	93	78	90	105	90	97	133	NAN	
NAN	163	114	89	80	81	96	126	127	157	NAN	
NAN	174	136	89	82	111	101	98	146	171	NAN	
NAN	195	144	71	60	95	77	99	123	157	NAN	
NAN	303	172	63	64	67	83	87	94	128	NAN	
NAN	482	222	75	86	86	90	83	81	96	NAN	
NAN	580	397	171	124	145	142	183	98	109	NAN	
NAN	661	613	299	244	315	281	358	138	271	NAN	
NAN	560	683	525	447	496	456	516	420	650	NAN	
NAN	379	489	529	483	452	487	501	802	1058	NAN	
NAN	296	294	335	336	302	301	312	713	887	NAN	
NAN	288	170	167	146	97	125	135	348	396	NAN	
NAN	271	111	77	82	70	82	108	131	151	NAN	
NAN	389	130	84	80	63	76	66	102	115	NAN	
NAN	504	168	108	63	65	89	99	52	101	NAN	
NAN	581	237	122	100	90	93	110	75	88	NAN	
NAN	710	414	153	145	162	194	200	124	154	NAN	
NAN	760	565	310	244	265	300	294	211	287	NAN	
NAN	759	591	447	402	413	405	417	420	615	NAN	
NAN	636	473	468	381	430	369	417	628	809	NAN	
NAN	580	346	346	313	237	261	302	539	781	NAN	
NAN	556	206	206	153	134	138	139	278	369	NAN	
NAN	616	164	158	97	77	61	97	129	154	NAN	
NAN	655	161	134	68	91	71	89	69	116	NAN	
NAN	654	186	150	61	75	72	85	72	108	NAN	
NAN	706	188	215	74	77	73	75	54	107	NAN	
NAN	822	218	196	77	69	58	71	70	95	NAN	
NAN	821	248	242	88	83	79	98	68	123	NAN	
NAN	902	277	257	96	93	97	114	60	134	NAN	
NAN	934	261	253	138	112	90	111	98	159	NAN	
NAN	927	305	300	107	132	92	116	120	179	NAN	
NAN	957	294	265	139	104	97	105	106	190	NAN	
NAN	905	303	295	109	85	87	104	94	182	NAN	
NAN	981	278	283	109	89	100	100	81	185	NAN	
NAN	987	299	295	104	94	78	88	70	167	NAN	
NAN	1095	334	322	129	94	88	83	63	172	NAN	
NAN	1131	392	349	113	98	82	77	55	181	NAN	
NAN	1113	399	381	154	97	83	87	62	214	NAN	
NAN	1154	403	404	142	102	87	99	62	241	NAN	
NAN	1213	471	439	161	129	107	110	60	234	NAN	
NAN	1262	497	407	194	132	106	84	69	243	NAN	
NAN	1178	488	450	186	147	116	125	77	295	NAN	
NAN	1221	468	455	212	164	125	117	88	303	NAN	
NAN	1319	543	493	210	174	124	102	102	375	NAN	
NAN	1454	561	539	207	165	149	117	102	419	NAN	
NAN	1708	623	530	263	178	152	125	123	405	NAN	
NAN	2213	809	533	250	177	158	148	124	473	NAN	
NAN	3099	996	609	336	244	189	173	122	477	NAN	
NAN	4377	1644	849	406	369	269	263	145	561	NAN	
NAN	5890	2905	1501	693	645	505	419	194	824	NAN	
NAN	6712	4294	2649	1259	1314	970	727	463	1613	NAN	
NAN	5858	4734	4211	2322	1929	1467	1115	1024	3731	NAN	
NAN	3856	3941	4421	2807	1875	1413	1161	1719	5556	NAN	
NAN	2268	2241	2986	1865	1121	883	724	1423	4546	NAN	
NAN	1805	1310	1355	905	535	488	365	711	2140	NAN	
NAN	1653	1019	831	548	446	363	307	340	969	NAN	
NAN	1548	1067	674	476	428	344	292	314	795	NAN	
NAN	1564	1071	704	447	428	357	323	320	767	NAN	
NAN	1594	1057	724	501	461	394	333	370	755	NAN	
NAN	1716	1163	693	508	473	434	405	366	799	NAN	
NAN	2033	1422	770	551	572	505	455	453	902	NAN	
NAN	2198	1738	961	665	759	682	652	493	1038	NAN	
NAN	2269	2177	1272	1081	1062	931	917	737	1501	NAN	
NAN	1926	2270	1615	1369	1366	1165	1184	1130	2367	NAN	
NAN	1537	1836	1442	1299	1177	1063	1006	1402	2584	NAN	
NAN	1219	1393	1081	1004	769	771	764	1198	1894	NAN	
NAN	1072	1103	795	705	657	607	572	735	1358	NAN	
NAN	1002	949	599	556	571	556	527	595	1024	NAN	
NAN	950	957	537	542	506	534	515	536	879	NAN	
NAN	900	864	552	557	528	497	532	524	861	NAN	
NAN	877	928	545	507	566	531	567	545	887	NAN	
NAN	888	919	555	555	524	599	548	559	908	NAN	
NAN	843	919	509	567	533	577	560	580	875	NAN	
NAN	833	928	450	515	627	623	618	675	910	NAN	
NAN	771	870	475	507	621	656	696	600	887	NAN	
NAN	813	937	545	550	671	659	710	690	911	NAN	
NAN	731	920	510	593	678	690	752	799	1020	NAN	
NAN	732	914	507	566	642	681	774	871	1030	NAN	
NAN	756	914	473	565	625	686	703	877	965	NAN	
NAN	653	745	444	496	510	650	561	701	779	NAN	
NAN	686	778	397	495	544	593	666	702	824	NAN	
NAN	634	777	372	489	576	639	671	771	885	NAN	
NAN	631	792	437	466	574	680	672	712	826	NAN	
NAN	585	729	383	502	558	611	670	721	811	NAN	
NAN	570	700	386	494	640	588	724	768	792	NAN	
NAN	594	680	417	501	565	589	684	757	814	NAN	
NAN	548	684	372	482	567	606	705	765	807	NAN	
NAN	577	679	356	474	522	638	722	771	750	NAN	
NAN	566	629	370	445	548	616	671	767	758	NAN	
NAN	566	630	346	478	534	608	661	742	792	NAN	
NAN	531	670	327	450	516	607	725	729	721	NAN	
NAN	506	602	312	429	570	605	685	756	740	NAN	
